楼栋,房间,面积,实际面积,得房率,均价,总价
21幢,201,115.5,85.66,74.17%,22630,262万
21幢,301,115.52,85.67,74.16%,22630,262万
21幢,401,115.5,85.66,74.17%,22930,265万
21幢,501,115.52,85.67,74.16%,23430,271万
21幢,601,115.5,85.66,74.17%,23730,275万
21幢,701,115.52,85.67,74.16%,23730,275万
21幢,801,115.5,85.66,74.17%,24030,278万
21幢,901,115.52,85.67,74.16%,24030,278万
21幢,1001,115.52,85.67,74.16%,24330,282万
21幢,1101,115.52,85.67,74.16%,24110,279万
21幢,1201,115.52,85.67,74.16%,24490,283万
21幢,1301,115.52,85.67,74.16%,24270,281万
21幢,1401,115.52,85.67,74.16%,24650,285万
21幢,1501,115.52,85.67,74.16%,24430,283万
21幢,1601,115.52,85.67,74.16%,24810,287万
21幢,1701,115.52,85.67,74.16%,24590,285万
21幢,1801,115.52,85.67,74.16%,24970,289万
21幢,1901,115.52,85.67,74.16%,24750,286万
21幢,2001,115.52,85.67,74.16%,25130,291万
21幢,2101,115.52,85.67,74.16%,24800,287万
21幢,2201,115.52,85.67,74.16%,25230,292万
21幢,2301,115.52,85.67,74.16%,24900,288万
21幢,2401,115.52,85.67,74.16%,25330,293万
21幢,2501,115.52,85.67,74.16%,25000,289万
21幢,2601,115.52,85.67,74.16%,25430,294万
21幢,2701,115.52,85.67,74.16%,24500,284万
