楼栋,房间,面积,实际面积,得房率,均价,总价
18幢,201,117.06,90.2,77.05%,22075,259万
18幢,301,117.06,90.2,77.05%,22525,264万
18幢,401,117.06,90.2,77.05%,22375,262万
18幢,501,117.06,90.2,77.05%,22825,268万
18幢,601,117.06,90.2,77.05%,22675,266万
18幢,701,117.06,90.2,77.05%,23125,271万
18幢,801,117.06,90.2,77.05%,22975,269万
18幢,901,117.06,90.2,77.05%,23355,274万
18幢,1001,117.06,90.2,77.05%,23135,271万
18幢,1101,117.06,90.2,77.05%,23515,276万
18幢,1201,117.06,90.2,77.05%,23295,273万
18幢,1301,117.06,90.2,77.05%,23675,278万
18幢,1401,117.06,90.2,77.05%,23455,275万
18幢,1501,117.06,90.2,77.05%,23835,280万
18幢,1601,117.06,90.2,77.05%,23615,277万
18幢,1701,117.06,90.2,77.05%,23995,281万
18幢,1801,117.06,90.2,77.05%,23775,279万
18幢,1901,117.06,90.2,77.05%,24155,283万
18幢,2001,117.06,90.2,77.05%,23935,281万
18幢,2101,117.06,90.2,77.05%,24285,285万
18幢,2201,117.06,90.2,77.05%,24035,282万
18幢,2301,117.06,90.2,77.05%,24385,286万
18幢,2401,117.06,90.2,77.05%,24135,283万
18幢,2501,117.06,90.2,77.05%,24485,287万
18幢,2601,117.06,90.2,77.05%,24235,284万
18幢,2701,117.06,90.2,77.05%,24235,284万
